icon,homepage,ID,comment_link,time,comment,like,reply
,https://www.youtube.com/@PixelatedCCC,@PixelatedCCC,https://www.youtube.com/watch?v=fK85SQzm0Z0&lc=Ugzc52j2BhFL7IY2fFN4AaABAg,8天前（修改过）,"For those who don't know, lots of people in China reposted his reaction of sunshine rainbow white pony to chinese social media, it went viral, which makes him kinda popular in China",989,17 条回复
,https://www.youtube.com/@Modnar621,@Modnar621,https://www.youtube.com/watch?v=fK85SQzm0Z0&lc=UgzJ-OdjbzYisPW6IVV4AaABAg,9天前,It's so frustrating watching Speed try to communicate with people and the translator is either not around or doesn't know anything.,3227,25 条回复
,https://www.youtube.com/@weqeqw-j2w,@weqeqw-j2w,https://www.youtube.com/watch?v=fK85SQzm0Z0&lc=UgziMqU6v2JRjP4qyiZ4AaABAg,9天前,"Chinese people are really nice. I'm going to Shanghai, China next week",2651,134 条回复
,https://www.youtube.com/@GOVR,@GOVR,https://www.youtube.com/watch?v=fK85SQzm0Z0&lc=UgxcQ3-3tZX8BzApCG14AaABAg,4天前,Chinese people are wonderful people.,39,
,https://www.youtube.com/@rizkaannisa7706,@rizkaannisa7706,https://www.youtube.com/watch?v=fK85SQzm0Z0&lc=UgyplkQjWoXWowxE6ml4AaABAg&pp=0gcJCSMANpG00pGi,9天前,We got ishowspeed in china before GTA 6,451,1 条回复
,https://www.youtube.com/@lucidyet,@lucidyet,https://www.youtube.com/watch?v=fK85SQzm0Z0&lc=UgxvUY09qdZLpKcQCKN4AaABAg,8天前,You gotta fire that translator. Even my 11-year-old little sister would translate more professionally.,2092,18 条回复
https://yt3.ggpht.com/1h8Q7eC-YhaRI-z1zeU0alMwRwbuEzgApx0suKFxHBu2eSdydN20ahr-gZBSzS90Y0I6YWpsfg=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@newtitin7807,@newtitin7807,https://www.youtube.com/watch?v=fK85SQzm0Z0&lc=UgwKYWsIT_qD15dyi4Z4AaABAg,9天前,"CHINA is a beautiful country, nice and educated people, love from Indonesia 🇮🇩",1393,43 条回复
https://yt3.ggpht.com/ytc/AIdro_lE50xlRBb9xYiUfggf6DvpstrgC52AR-Qpf_KE_4DkWg=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@Godfather-q1f,@Godfather-q1f,https://www.youtube.com/watch?v=fK85SQzm0Z0&lc=Ugx1SSzXpZMlEuP4PU94AaABAg,2天前,Chinese people is indeed friendly and Chinese city is clean .I misunderstood china before,14,
https://yt3.ggpht.com/ytc/AIdro_nbpIyw9RERWWeYVcxAB1eIBIpGS09nJ0NDBVgNNe0nbEppDM0SbBGcKOhumeWeRWLvPA=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@lone1996,@lone1996,https://www.youtube.com/watch?v=fK85SQzm0Z0&lc=Ugy9y6dWu-4rZibs2ht4AaABAg,8天前,"China fans        10/10
Pink translate    5/10",2644,36 条回复
https://yt3.ggpht.com/ytc/AIdro_mzVEc6tb5eFzX78832nmOR4LzgGBivsGruJZ_K3wA=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@anasef1317,@anasef1317,https://www.youtube.com/watch?v=fK85SQzm0Z0&lc=UgxxnFCz4bEdA1tTS5N4AaABAg,9天前,Bro Chinese people are very chill and respect,876,9 条回复
https://yt3.ggpht.com/zntWV9qIbIcfwDZGiIRUerHwkKGu1i_JdVo1zzWZ1espi4Nn-zFVXCbuF86r78bcyVM1YoDN0A=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@longphuong2421,@longphuong2421,https://www.youtube.com/watch?v=fK85SQzm0Z0&lc=UgxlbYkd9P_KsRCWwbR4AaABAg,9天前,"Ishowspeed in other countries: 3 to 4 hours

Ishowpeed in China: 6 hours straight",1124,20 条回复
https://yt3.ggpht.com/ytc/AIdro_n29me9QI6JS-Fw9i8hfJJCjxWPeSCC8qsQzo1xkL0N6g=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@rickywong7105,@rickywong7105,https://www.youtube.com/watch?v=fK85SQzm0Z0&lc=Ugx-1P3CGrEF_tmzhLR4AaABAg,3天前（修改过）,"Concerning the Chinese people's friendliness, I was in China one year ago with my wife. I walked close to a family with 3 generations and was curious about the food they were eating at the park. Surprisingly, they welcomed me and asked me to join their food party. Amazing people! I'm not a celebrity, but they also treated me nicely.",66,11 条回复
https://yt3.ggpht.com/ytc/AIdro_l-hVaGxZegDeRJy5bTbNfpRlw6IgeYf6jpPW20Vzdc1Q=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@aaaqaqa,@aaaqaqa,https://www.youtube.com/watch?v=fK85SQzm0Z0&lc=UgyTBxX7o566jGx5nUt4AaABAg,8天前,"As a Chinese citizen, I must say this translation is utterly garbage. It demonstrates zero professionalism with numerous mistranslations that completely ruined the program's intended comedic effects and entertainment value.",2393,45 条回复
https://yt3.ggpht.com/U3Z46Z7bW0jPA2Sz8t3DZRXcgEsDr45dyKllxTmd2pCtfh9cqiJgKNYduXk37b5sYAAVWejx=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@lifeifan-j3i,@lifeifan-j3i,https://www.youtube.com/watch?v=fK85SQzm0Z0&lc=Ugwdjr4oNrZ1nfVlkmZ4AaABAg,5天前,"China is much better than we imagined, this is crazy. The China we know is actually like this. It's amazing. Unscrupulous media misled me. Thank you, Speed",582,15 条回复
https://yt3.ggpht.com/ytc/AIdro_knr1lBTS39ojZ9rF0-nbYMIeq5HncsW9YxkFBG2TO7JQs=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@auxtomates3757,@auxtomates3757,https://www.youtube.com/watch?v=fK85SQzm0Z0&lc=UgzRagvAigKUIt0Sw_B4AaABAg,9天前,"Horrible translator, didn’t even translate half the time and translated incorrectly with no manners. Please get a new one",7558,72 条回复
,https://www.youtube.com/@JACKYALISHANDA,@JACKYALISHANDA,https://www.youtube.com/watch?v=fK85SQzm0Z0&lc=UgxH5_p1ewTCIAB1c7d4AaABAg,3天前,"I once thought Speed was just a quirky internet celebrity and never paid much attention to him. This time, seeing him come to my motherland, China, I discovered his smart, polite, and thoughtful side. Although he’s playful, it’s all within a very safe boundary. This made me see young Americans in a new light. The negative reports in the news are always about people hurting each other, and us ordinary folks get misled by the media too much. I hope everyone can find the time to visit China. It’s not perfect, but it’s worth a trip!",13,
,https://www.youtube.com/@thegreatpiglord2139,@thegreatpiglord2139,https://www.youtube.com/watch?v=fK85SQzm0Z0&lc=UgwTSgL2t8BwrRR4RcJ4AaABAg,8天前,"Ain gonna lie out of all the irl streams the Chinese have been some of the most respectful and peaceful people , cool af to",1039,19 条回复
,https://www.youtube.com/@jackxing4471,@jackxing4471,https://www.youtube.com/watch?v=fK85SQzm0Z0&lc=UgzffR-nzfvBBrvGEPp4AaABAg,6天前,"Chinese people are friendly but also shy, they are not good at expressing themselves, but they will take care of their friends from abroad.",621,15 条回复
,https://www.youtube.com/@kukka2454,@kukka2454,https://www.youtube.com/watch?v=fK85SQzm0Z0&lc=UgymmmgSe1oYPt7kocN4AaABAg,9天前（修改过）,Damn China have beautiful Cities and Good People... Best Citys in the world,1552,41 条回复
,https://www.youtube.com/@AaronSady,@AaronSady,https://www.youtube.com/watch?v=fK85SQzm0Z0&lc=UgyYfR1H7GlGerVANPV4AaABAg,1天前,There is no need to be so serious about bodyguards. China is ridiculously safe.,5,
,https://www.youtube.com/@manenwan,@manenwan,https://www.youtube.com/watch?v=fK85SQzm0Z0&lc=Ugz7SYN1NbrZu-KOa314AaABAg,8天前,W chinese internet tho streaming in 1440p with no lag is crazy,730,35 条回复
,https://www.youtube.com/@117-f9d,@117-f9d,https://www.youtube.com/watch?v=fK85SQzm0Z0&lc=UgxDwZDvEdrd5ThjLuV4AaABAg,8天前,这个粉色头发的翻译对别人真的非常没礼貌 而且翻译的非常不准确 speed请换掉他,2737,108 条回复
,https://www.youtube.com/@Void_Ninja_25,@Void_Ninja_25,https://www.youtube.com/watch?v=fK85SQzm0Z0&lc=Ugw6VaO4CLxMkfhu_pl4AaABAg,9天前,"China: No YouTube 
Chinese: No Problem, we got VPNs",1395,84 条回复
,https://www.youtube.com/@Hkluck,@Hkluck,https://www.youtube.com/watch?v=fK85SQzm0Z0&lc=Ugy2pvdw9Whctp2Ulft4AaABAg,4天前,我認為你配得上被邀出席明年的春節晚會（Spring Festival Gala Dinner organised and broadcasted by the Central TV)!,11,1 条回复
https://yt3.ggpht.com/ytc/AIdro_mr4_FJ9M_nXZaIKxD5LIt4WCmm2WhGZBNhLGPgRqbyZqw=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@rez697,@rez697,https://www.youtube.com/watch?v=fK85SQzm0Z0&lc=UgwSeULPa8wR3y4-6ZR4AaABAg,9天前,intresting how chinese ppl are so calm and polite even the the younger ones,615,33 条回复
https://yt3.ggpht.com/ytc/AIdro_nBMkAF4M-YzDIXrlDl58OOax-tUIIFrEKz_MMYJNgzYS0=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@bruh-bn3ni,@bruh-bn3ni,https://www.youtube.com/watch?v=fK85SQzm0Z0&lc=UgyhQXcfHxLNzQxAmbh4AaABAg,8天前,FIRE THE PINK HAIR GUY.,173,1 条回复
