icon,homepage,ID,comment_link,time,comment,like,reply
,https://www.youtube.com/@whoruntheworldxd,@whoruntheworldxd,https://www.youtube.com/watch?v=g4TDjwPRArg&lc=UgwCexSYGh6ABps8jBx4AaABAg,2天前,"After Speed's broadcasts, most people's thoughts about China have changed and prejudices have been broken. Many people want to visit China.",268,12 条回复
,https://www.youtube.com/@jazz351f9,@jazz351f9,https://www.youtube.com/watch?v=g4TDjwPRArg&lc=UgyToRpn1lRH9tStzy54AaABAg&pp=0gcJCSMANpG00pGi,1天前,Speed suffers a lot from headaches and never lets chat know about it. He’s always trying to make other people happy. After the acupuncture he looked so relieved.,249,3 条回复
,https://www.youtube.com/@Andisge1992,@Andisge1992,https://www.youtube.com/watch?v=g4TDjwPRArg&lc=UgwTq8wVF5SYNIcfeIF4AaABAg&pp=0gcJCSMANpG00pGi,1天前,Watching 15 mins and i cant stop laughing.. i am a grown 32 year old german man with 2 children.. this is pure entertainment.. unfiltered people all over the world.. no politics no propaganda no hate.. speed is healing for the world,2374,59 条回复
,https://www.youtube.com/@jny5179,@jny5179,https://www.youtube.com/watch?v=g4TDjwPRArg&lc=UgzKFUSa6KAf8seiB0d4AaABAg,1天前,Chinese people are so accommodating and hospitable,80,
,https://www.youtube.com/@starkalexander2767,@starkalexander2767,https://www.youtube.com/watch?v=g4TDjwPRArg&lc=Ugzufroq5AzwwBSWkQZ4AaABAg,2天前,Speed ​​has done 5 IRL streams in China. This is enough to realize how vast and culturally diverse China really is,994,38 条回复
https://yt3.ggpht.com/ytc/AIdro_nRjFlPQsjtS1WAW1alwNMCS4-nexN783EoV52LJ68Z_w=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@Chronomatrix,@Chronomatrix,https://www.youtube.com/watch?v=g4TDjwPRArg&lc=UgzJxABz97rXYQjwqKN4AaABAg,2天前（修改过）,"I've never watched Speed before, I'm not a fan of how hectic his streams get, but now I understand why he's so famous, the guy is really good with fans, no matter where they are from, he's pure entertainment.",123,1 条回复
https://yt3.ggpht.com/7N-jS8H_5OCandVOB2STrPJ5kH9CfCrE-zkOcMk1S6YAYV5YBs6oo8Qudvig28X5ZFpPt_V72A=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@captainlevi98o,@captainlevi98o,https://www.youtube.com/watch?v=g4TDjwPRArg&lc=UgzRTsMJOZPDF-2OYYZ4AaABAg,2天前（修改过）,Chinese people are very respectfull and kind,716,29 条回复
https://yt3.ggpht.com/ytc/AIdro_mw9W1zbROEgqfldgUkMYbiqP28uReVzp1Jn9i1MO7VzfLhMA7aQmPVp_I588_YpOg-6g=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@binqin5430,@binqin5430,https://www.youtube.com/watch?v=g4TDjwPRArg&lc=UgwLFAcoz6sd-5yqjGx4AaABAg,1天前,"Chengdu is a 3,000-year-old city. It is rich in history and culture, and it is a gastronomic capital. China's happiest city ranks first all year round. Here, you can feel the state of life of freedom, food, leisure and entertainment. Please take your time and experience the life here. Welcome friends from all over the world",74,3 条回复
https://yt3.ggpht.com/36EP5I2aFkZFaM7E9dUvMd-ql7kLth-o-2tR0CKJS8zz4lYdVezaHXfr1OltPe5XP_jlvUhTTw=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@jefersoneisma1464,@jefersoneisma1464,https://www.youtube.com/watch?v=g4TDjwPRArg&lc=Ugx_7lHsTk53N1olR7d4AaABAg,10小时前,"BRO, SPEED GOT THE PEOPLE AROUND THE WORLD LOVE CHINA.",8,
https://yt3.ggpht.com/ytc/AIdro_kJ3FcTK6tPUFpl4R86BInDDqp5yQbydEyINs4qHI8JpA=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@Mr1991du,@Mr1991du,https://www.youtube.com/watch?v=g4TDjwPRArg&lc=Ugy2eDf9mVw3QW6qdTt4AaABAg,2天前,中醫的女醫生 秒殺這幾天的翻譯,1180,29 条回复
https://yt3.ggpht.com/ytc/AIdro_kpy72TqvMheMlxynw1hHgBWVNxqJZHyqDnxvoG5Z8XJwU5yncLCvpztnOOAgD6U6CAdQ=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@hansenyin-q7k,@hansenyin-q7k,https://www.youtube.com/watch?v=g4TDjwPRArg&lc=UgzL6Kx0k-kIowFikXZ4AaABAg,1天前,"Is China so advanced now? This breaks my 30 year old understanding of China. I have been deceived by the so-called mainstream media for so many years, and I also want to go to China to see.",244,34 条回复
https://yt3.ggpht.com/ytc/AIdro_lD2Gx8IICTKNOei7FVgq5zfokzCheOe00ApgrRcKDgGg=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@grindn10101,@grindn10101,https://www.youtube.com/watch?v=g4TDjwPRArg&lc=UgwiPrEll8z_q2axJUJ4AaABAg,10小时前,As a black man seeing all the Chinese people apologize for the girls action actually kinda made me tear up a little because i can feel the world coming together even with our media confusing everything. From America I'd like to say we also love our Chinese people,209,17 条回复
,https://www.youtube.com/@kalpak8,@kalpak8,https://www.youtube.com/watch?v=g4TDjwPRArg&lc=UgyYt-JGywv--NRFr7J4AaABAg,2天前,China irl is the best stream till date . W China from India,412,22 条回复
,https://www.youtube.com/@MadibIsh123,@MadibIsh123,https://www.youtube.com/watch?v=g4TDjwPRArg&lc=UgzE3rWXDCKMZfnbs3V4AaABAg,2天前,I have booked a trip to China in coming months! Because of speed Speed has really changed my perspective towards China,1643,162 条回复
,https://www.youtube.com/@francois9747,@francois9747,https://www.youtube.com/watch?v=g4TDjwPRArg&lc=UgzRX3Z_xM3jvcoRurt4AaABAg,2天前,The energy of this city is so drastically different to the others. Chengdu feels like what western cities feel like with the energy of the crowd.,343,25 条回复
,https://www.youtube.com/@HaoyuWang-wr4go,@HaoyuWang-wr4go,https://www.youtube.com/watch?v=g4TDjwPRArg&lc=UgwIKfCS60KYiK9wXL94AaABAg,1天前,"No one should apologize except that girl, and I mean, she should apologize for her irresponsible comments. But she doesn’t speak for any group—what one person says or does only speaks for themselves.",22,
,https://www.youtube.com/@yujiecao-i7i,@yujiecao-i7i,https://www.youtube.com/watch?v=g4TDjwPRArg&lc=UgzQXZJRcEO7VSfxajp4AaABAg,1天前,"There are good people and bad people in the world, and simply hating a country is no different than racism",119,3 条回复
,https://www.youtube.com/@zhiyiyang-ri3xs,@zhiyiyang-ri3xs,https://www.youtube.com/watch?v=g4TDjwPRArg&lc=UgycAYtUJzzYGoh1nrJ4AaABAg,2天前（修改过）,Chengdu is one of the most random cities in China. Now you have seen it.,841,30 条回复
,https://www.youtube.com/@Alzayed1994,@Alzayed1994,https://www.youtube.com/watch?v=g4TDjwPRArg&lc=UgyrHFOOC-mqEDPl9_J4AaABAg,2天前,I visited China for the first time in 2024 and the Chinese people are very kind and respectful and the country is very developed,991,31 条回复
,https://www.youtube.com/@ananta0703,@ananta0703,https://www.youtube.com/watch?v=g4TDjwPRArg&lc=Ugz5xn2SMI5dCowYp-h4AaABAg,23小时前,bro please do evening streaming    we want 2 see evening life in china 🇨🇳,9,
,https://www.youtube.com/@PeppaLotus,@PeppaLotus,https://www.youtube.com/watch?v=g4TDjwPRArg&lc=UgwFtfreO9XQrf8dGeh4AaABAg,2天前,"That racist Chinese girl thought she was joking, but she was harshly criticized by netizens on Chinese social media.",3751,193 条回复
,https://www.youtube.com/@naeixwuch1324,@naeixwuch1324,https://www.youtube.com/watch?v=g4TDjwPRArg&lc=UgzteUizb1Ty5RvUowp4AaABAg,2天前,Every part of China is different and unique in its own way.,109,1 条回复
,https://www.youtube.com/@angelah.8479,@angelah.8479,https://www.youtube.com/watch?v=g4TDjwPRArg&lc=UgwSEKHJH-dt21Bj-Tx4AaABAg,1天前,"Thumbs up to the interpreter at the traditional Chinese medicine store, very accurate as she has a great knowledge of the TCM culture, the best during these few days of live streaming. A good interpreter does not only speak the language, but also knows the culture behind the language.",109,1 条回复
,https://www.youtube.com/@HovenBean,@HovenBean,https://www.youtube.com/watch?v=g4TDjwPRArg&lc=UgwcjUoHvxYrlZRwBxt4AaABAg,1天前,"2:48:43, ""wo cao ni ma“ from the security, respect!",6,
https://yt3.ggpht.com/ZTcneBCxv96bp_hM4zEIe3FBCqnsv1FtubJQpZq51e64ysxmwYDui0n0t8jNLza_sSwaqOyqLFQ=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@Sigld_LM,@Sigld_LM,https://www.youtube.com/watch?v=g4TDjwPRArg&lc=Ugy4cjTI8iJsGDAK50Z4AaABAg,1天前,"After Ishowspeed returned to the United States, he found himself on Trump's sanctions list. Trump increased the tariff of 15% on speed",460,15 条回复
https://yt3.ggpht.com/xmrJdl-7-eayZ1FNjENvp5Hp0_BBdF6h9YB87zis2d3daWMrHwm1g5C6xjxLURF3Hz70asKL=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@whoruntheworldxd,@whoruntheworldxd,https://www.youtube.com/watch?v=g4TDjwPRArg&lc=UgztWaAIHpJCVow-pc54AaABAg,2天前,"Speed's Chinese Streams were colorful and entertaining. I enjoyed watching them. China is a very underrated country. Btw, Chinese fans are very respectful and entertaining. W country🇨🇳",236,8 条回复
https://yt3.ggpht.com/ytc/AIdro_m0Vmjr60KtGUihCfO-jK0Yuvk5a1I2hAes9Q2_KzxTkA=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@janniesneed4511,@janniesneed4511,https://www.youtube.com/watch?v=g4TDjwPRArg&lc=UgyumurjLoYkEsuCktZ4AaABAg,2天前,"Chinese in the comments apologizing for a random girls dumb act is hella wholesome, I used to fear China thanks to all western propaganda but seeing Speed, Bald and bankrupt and others have the greatest time ever with such lovely people make me feel dumb how I fell for our media and leaders lies!",1950,73 条回复
,https://www.youtube.com/@%E5%A4%8F%E6%B7%BB-v1k,@夏添-v1k,https://www.youtube.com/watch?v=g4TDjwPRArg&lc=UgwtUtXfFuAb3MTZOJl4AaABAg,22小时前,"It seems really fun to see you in Chengdu, and it's also very interesting. Could you please shoot one more episode in Chengdu and its surrounding areas?",3,
,https://www.youtube.com/@euniceshimray4680,@euniceshimray4680,https://www.youtube.com/watch?v=g4TDjwPRArg&lc=UgyKqVYjSdKaDShvOIl4AaABAg&pp=0gcJCSMANpG00pGi,2天前,He’s so famous. And the people in Chengdu are so respectful cause I was shocked when they didn’t even bang the car window.,281,13 条回复
,https://www.youtube.com/@bat3145,@bat3145,https://www.youtube.com/watch?v=g4TDjwPRArg&lc=UgwMYVERlIt9tpkA_ut4AaABAg,2天前,感谢这次中医的老师翻译，简直完美！扳回一城，让国内国外的粉丝带来了极好的体验和专业度！Respect 🫡,81,2 条回复
,https://www.youtube.com/@liushuang9405,@liushuang9405,https://www.youtube.com/watch?v=g4TDjwPRArg&lc=UgzdsQ1wk2iNC6j9ged4AaABAg,2天前,"Real racist will not say she is a racist, but the joke is stupid we chinese don't like it.",3108,100 条回复
,https://www.youtube.com/@kyukyu7745,@kyukyu7745,https://www.youtube.com/watch?v=g4TDjwPRArg&lc=Ugyl7A_DaVpFKW9bpot4AaABAg,1天前,"it's interesting that other people attempted to show up in Speed‘s stream in any case for traffic while Speed just reacted to them out of courtesy until Super Idol came, and Speed became excited immediately He is the one who Speed really desires to meet.",7,
,https://www.youtube.com/@theavengers.,@theavengers.,https://www.youtube.com/watch?v=g4TDjwPRArg&lc=UgwVx9yclnGb0Ih9cy14AaABAg,2天前,Love china since young hope to visit this beautiful country one day,188,20 条回复
,https://www.youtube.com/@havik7954,@havik7954,https://www.youtube.com/watch?v=g4TDjwPRArg&lc=UgxHnbCzvhiDqdlEypR4AaABAg,2天前,"I lived in Chengdu for a year, and it completely stole my heart. Amazing place, amazing people, amazing food! 
One day, I hope I can go back.",61,1 条回复
,https://www.youtube.com/@mateoconnor9282,@mateoconnor9282,https://www.youtube.com/watch?v=g4TDjwPRArg&lc=UgxGFM0i0-49jE8JbYl4AaABAg,2天前,China is the best tour so far ️🇨🇳 W stream,328,11 条回复
,https://www.youtube.com/@Dave_Matthew191,@Dave_Matthew191,https://www.youtube.com/watch?v=g4TDjwPRArg&lc=UgwqkdiW-EWwDk5cALN4AaABAg,1天前,The chinese people apologizing in the comments made my day,249,6 条回复
,https://www.youtube.com/@Ibrahimoviczlatan-wj4vh,@Ibrahimoviczlatan-wj4vh,https://www.youtube.com/watch?v=g4TDjwPRArg&lc=Ugz8B2ouvs8h6SKOqj94AaABAg,2天前,The best translater is the doctor.,343,12 条回复
,https://www.youtube.com/@kazumichan7070,@kazumichan7070,https://www.youtube.com/watch?v=g4TDjwPRArg&lc=UgyvQsUltgg3KbdCnI14AaABAg,2天前,China is so underrated i love it,69,
,https://www.youtube.com/@kcpncfs9234,@kcpncfs9234,https://www.youtube.com/watch?v=g4TDjwPRArg&lc=UgyYcarGk6ekc7VHb-h4AaABAg,1天前,"WOW, Chinese people are super friendly and welcoming!",69,1 条回复
,https://www.youtube.com/@neonnex7551,@neonnex7551,https://www.youtube.com/watch?v=g4TDjwPRArg&lc=UgxwoF5HwuH4nJ7xIlx4AaABAg,20小时前,"After watching all the Speed streams i cancelled my recent Germany trip, and going to visit China now. 
Chinese people are humble and friendly",119,10 条回复
,https://www.youtube.com/@kwame19,@kwame19,https://www.youtube.com/watch?v=g4TDjwPRArg&lc=Ugxgs1tMZKqCln67gLR4AaABAg,2天前,5 hours is not enough for that city bro,643,25 条回复
,https://www.youtube.com/@whoruntheworldxd,@whoruntheworldxd,https://www.youtube.com/watch?v=g4TDjwPRArg&lc=UgyXhVWRBNQKfWrzIgN4AaABAg&pp=0gcJCSMANpG00pGi,1天前,"I saw many Chinese people apologizing for the cosplayer girl in the comments. Dear Chinese people, we have seen your hospitality in other Speed streams. I don't think you need to apologize anyway. That girl's English wasn't very good either. Maybe she wanted to say something else, so she mixed up the word. 

W China 
W Chinese fans",923,57 条回复
,https://www.youtube.com/@wzTunTun,@wzTunTun,https://www.youtube.com/watch?v=g4TDjwPRArg&lc=Ugzlw45_XfrVi-Hg7VZ4AaABAg,2天前,that old lady doctor translated so dame good，even better than the previous  stream translator.,217,10 条回复
,https://www.youtube.com/@ChenYo-r9n,@ChenYo-r9n,https://www.youtube.com/watch?v=g4TDjwPRArg&lc=UgyHUAhUSSHujrOEZQR4AaABAg,14小时前,"Speed, your hair is really cool and good-looking. That Chinese barber said it was not convenient to cut your hair, not that your hair was dirty. It was that guy in the flowery clothes who translated it wrongly. Besides, when he said he would introduce you to Chinese girls, that word he used was actually offensive to Chinese girls. He was deliberately tricking you.",8,
https://yt3.ggpht.com/PpiaDVoPAZ5WYMhl-Q5TkwnEIS0BOXXWPfyho5w9szge40iR7vZXOoU4gafGMK9lab3eTnK9s2I=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@EddiePiao-2993,@EddiePiao-2993,https://www.youtube.com/watch?v=g4TDjwPRArg&lc=UgzDKrwGS6Uvcf69Ryd4AaABAg,2天前,"China lit, worth exploring all day",316,7 条回复
